rank;rank_w;institution;link;institution_2;score;authors;author_shares;from_url
---;[---];Laboratoire d'Économie d'Orléans (LEO), Faculté de droit, d'économie et de gestion, Université d'OrléansOrléans, France;http://edirc.repec.org/data/leorlfr.html;Laboratoire d'Économie d'Orléans (LEO), Faculté de droit, d'économie et de gestion, Université d'Orléans;42.24;39;31.8;http://ideas.repec.org/top/top.france.html;
---;[---];LAboratoire Montpelliérain d'Économie Théorique et Appliquée (LAMETA), Faculté de sciences économiques, Université de Montpellier IMontpellier, France;http://edirc.repec.org/data/lamplfr.html;LAboratoire Montpelliérain d'Économie Théorique et Appliquée (LAMETA), Faculté de sciences économiques, Université de Montpellier I;44.48;56;45.19;http://ideas.repec.org/top/top.france.html;
29;[30];Département d'Économie, École PolytechniquePalaiseau, France;http://edirc.repec.org/data/depolfr.html;Département d'Économie, École Polytechnique;44.81;32;20.4;http://ideas.repec.org/top/top.france.html;
30;[29];ESSEC Business SchoolCergy-Pontoise, France;http://edirc.repec.org/data/essecfr.html;ESSEC Business School;45.62;33;26.81;http://ideas.repec.org/top/top.france.html;
31;[31];Centre International de Recherche sur l'Environnement et le Développement (CIRED)Paris, France;http://edirc.repec.org/data/ciredfr.html;Centre International de Recherche sur l'Environnement et le Développement (CIRED);46.44;36;29.9;http://ideas.repec.org/top/top.france.html;
---;[---];Laboratoire de Recherche en Gestion (LaRGE), Institut de Finance de Strasbourg, Université de StrasbourgStrasbourg, France;http://edirc.repec.org/data/lastrfr.html;Laboratoire de Recherche en Gestion (LaRGE), Institut de Finance de Strasbourg, Université de Strasbourg;47.14;25;18.73;http://ideas.repec.org/top/top.france.html;
32;[32];Institut de Finance de Strasbourg, Université de StrasbourgStrasbourg, France;http://edirc.repec.org/data/ifstrfr.html;Institut de Finance de Strasbourg, Université de Strasbourg;47.14;25;18.73;http://ideas.repec.org/top/top.france.html;
33;[34];Département de Sciences Économiques et de Gestion, Université Panthéon-Assas (Paris II)Paris, France;http://edirc.repec.org/data/deup2fr.html;Département de Sciences Économiques et de Gestion, Université Panthéon-Assas (Paris II);47.39;39;32.13;http://ideas.repec.org/top/top.france.html;
34;[28];Centre d'Économie de l'Université Paris-Nord (CEPN), Université Paris-13Paris, France;http://edirc.repec.org/data/cep13fr.html;Centre d'Économie de l'Université Paris-Nord (CEPN), Université Paris-13;47.5;42;39;http://ideas.repec.org/top/top.france.html;
---;[---];Atelier de Recherche Quantitative Appliquée au Développement Économique (ARQADE), Toulouse School of Economics (TSE)Toulouse, France;http://edirc.repec.org/data/arqadfr.html;Atelier de Recherche Quantitative Appliquée au Développement Économique (ARQADE), Toulouse School of Economics (TSE);48.68;13;10.09;http://ideas.repec.org/top/top.france.html;
35;[35];IÉSEG School of Management, Université Catholique de LilleLille, France;http://edirc.repec.org/data/iesegfr.html;IÉSEG School of Management, Université Catholique de Lille;50.51;72;45.94;http://ideas.repec.org/top/top.france.html;
36;[36];Équipe de Recherche sur l'Utilisation des Données Individuelles en lien avec la Théorie Économique (ERUDITE), Université Paris-EstCréteil, France;http://edirc.repec.org/data/erp12fr.html;Équipe de Recherche sur l'Utilisation des Données Individuelles en lien avec la Théorie Économique (ERUDITE), Université Paris-Est;51.95;45;32.99;http://ideas.repec.org/top/top.france.html;
---;[---];Institute for Advanced Study in Toulouse (IAST), Toulouse School of Economics (TSE)Toulouse, France;http://edirc.repec.org/data/iasttfr.html;Institute for Advanced Study in Toulouse (IAST), Toulouse School of Economics (TSE);52.15;5;3.3;http://ideas.repec.org/top/top.france.html;
---;[---];Économie Publique, Département Sciences Sociales, Agriculture et Alimentation, Espace et Environnement (SAE2), Institut National de la Recherche Agronomique (INRA)Paris-Grignon, France;http://edirc.repec.org/data/epinrfr.html;Économie Publique, Département Sciences Sociales, Agriculture et Alimentation, Espace et Environnement (SAE2), Institut National de la Recherche Agronomique (INRA);55.66;22;16.95;http://ideas.repec.org/top/top.france.html;
---;[---];Dauphine Recherches en Management (DRM), Université Paris-Dauphine (Paris IX)Paris, France;http://edirc.repec.org/data/drmp9fr.html;Dauphine Recherches en Management (DRM), Université Paris-Dauphine (Paris IX);57.97;37;35.58;http://ideas.repec.org/top/top.france.html;
---;[---];Centre d'analyse et de mathématiques sociales (CAMS), École des Hautes Études en Sciences Sociales (EHESS)Paris, France;http://edirc.repec.org/data/cahesfr.html;Centre d'analyse et de mathématiques sociales (CAMS), École des Hautes Études en Sciences Sociales (EHESS);58.22;3;1.8;http://ideas.repec.org/top/top.france.html;
---;[---];Directorate for Science, Technology and Industry (DSTI), Organisation de Coopération et de Développement Économiques (OCDE)Paris, France;http://edirc.repec.org/data/scoecfr.html;Directorate for Science, Technology and Industry (DSTI), Organisation de Coopération et de Développement Économiques (OCDE);58.63;22;16.02;http://ideas.repec.org/top/top.france.html;
37;[39];Fondation pour les études et recherches sur le développment international (FERDI)Clermont-Ferrand, France;http://edirc.repec.org/data/ferdifr.html;Fondation pour les études et recherches sur le développment international (FERDI);58.9;9;5.29;http://ideas.repec.org/top/top.france.html;
38;[37];Institut d'Économie et de Management de Nantes (IAE), Université de NantesNantes, France;http://edirc.repec.org/data/ianatfr.html;Institut d'Économie et de Management de Nantes (IAE), Université de Nantes;59.3;21;16.61;http://ideas.repec.org/top/top.france.html;
39;[38];Institut National de la Statistique et des Études Économiques (INSEE), Government of FranceParis, France;http://edirc.repec.org/data/inseefr.html;Institut National de la Statistique et des Études Économiques (INSEE), Government of France;59.47;20;15.08;http://ideas.repec.org/top/top.france.html;
---;[---];Laboratoire Études et Recherches Économiques (SMART-LERECO), Département Sciences Sociales, Agriculture et Alimentation, Espace et Environnement (SAE2), Institut National de la Recherche Agronomique (INRA)Rennes/Nantes, France;http://edirc.repec.org/data/inrarfr.html;Laboratoire Études et Recherches Économiques (SMART-LERECO), Département Sciences Sociales, Agriculture et Alimentation, Espace et Environnement (SAE2), Institut National de la Recherche Agronomique (INRA);59.52;33;26.65;http://ideas.repec.org/top/top.france.html;
---;[---];Laboratoire d'Économie et de Management de Nantes-Atlantique (LEMNA), Institut d'Économie et de Management de Nantes (IAE), Université de NantesNantes, France;http://edirc.repec.org/data/lemnafr.html;Laboratoire d'Économie et de Management de Nantes-Atlantique (LEMNA), Institut d'Économie et de Management de Nantes (IAE), Université de Nantes;61.05;19;14.62;http://ideas.repec.org/top/top.france.html;
40;[40];DIALParis, France;http://edirc.repec.org/data/diallfr.html;DIAL;61.12;36;17.25;http://ideas.repec.org/top/top.france.html;
---;[---];Centre de Recherches en Mathématiques de la Décision (CEREMADE), Université Paris-Dauphine (Paris IX)Paris, France;http://edirc.repec.org/data/cerp9fr.html;Centre de Recherches en Mathématiques de la Décision (CEREMADE), Université Paris-Dauphine (Paris IX);62.07;9;6.83;http://ideas.repec.org/top/top.france.html;
---;[---];Centre de développement, Organisation de Coopération et de Développement Économiques (OCDE)Paris, France;http://edirc.repec.org/data/dcoecfr.html;Centre de développement, Organisation de Coopération et de Développement Économiques (OCDE);63.24;26;23.15;http://ideas.repec.org/top/top.france.html;
---;[---];Trade and Agriculture Directorate, Organisation de Coopération et de Développement Économiques (OCDE)Paris, France;http://edirc.repec.org/data/tdoecfr.html;Trade and Agriculture Directorate, Organisation de Coopération et de Développement Économiques (OCDE);63.48;19;17.09;http://ideas.repec.org/top/top.france.html;
---;[---];École Doctorale de Sciences Économiques, Toulouse School of Economics (TSE)Toulouse, France;http://edirc.repec.org/data/edtlsfr.html;École Doctorale de Sciences Économiques, Toulouse School of Economics (TSE);64.67;4;2.56;http://ideas.repec.org/top/top.france.html;
---;[---];Laboratoire d'Économie des Ressources Naturelles (LERNA), Toulouse School of Economics (TSE)Toulouse, France;http://edirc.repec.org/data/lrtlsfr.html;Laboratoire d'Économie des Ressources Naturelles (LERNA), Toulouse School of Economics (TSE);65.74;9;9;http://ideas.repec.org/top/top.france.html;
41;[41];Laboratoire d'Économie Dionysien (LED), Université Paris-Saint-Denis (Paris VIII)Saint-Denis, France;http://edirc.repec.org/data/ledp8fr.html;Laboratoire d'Économie Dionysien (LED), Université Paris-Saint-Denis (Paris VIII);65.95;26;24.1;http://ideas.repec.org/top/top.france.html;
---;[---];Centre de Recherche en Économie et Droit (CRED), Département de Sciences Économiques et de Gestion, Université Panthéon-Assas (Paris II)Paris, France;http://edirc.repec.org/data/ermp2fr.html;Centre de Recherche en Économie et Droit (CRED), Département de Sciences Économiques et de Gestion, Université Panthéon-Assas (Paris II);67.4;21;15.35;http://ideas.repec.org/top/top.france.html;
42;[43];Faculté des Sciences Économiques et du Droit, Université du MaineLe Mans, France;http://edirc.repec.org/data/femaifr.html;Faculté des Sciences Économiques et du Droit, Université du Maine;69.44;27;22.75;http://ideas.repec.org/top/top.france.html;
---;[---];Groupe d'Analyse des Itinéraires et Niveaux Salariaux (GAINS), Faculté des Sciences Économiques et du Droit, Université du MaineLe Mans, France;http://edirc.repec.org/data/gamaifr.html;Groupe d'Analyse des Itinéraires et Niveaux Salariaux (GAINS), Faculté des Sciences Économiques et du Droit, Université du Maine;70.56;27;22.25;http://ideas.repec.org/top/top.france.html;
43;[42];Faculty of Economics and Social Sciences, Université des Sciences et Technologie de Lille (Lille 1)Villeneuve d'Ascq, France;http://edirc.repec.org/data/flillfr.html;Faculty of Economics and Social Sciences, Université des Sciences et Technologie de Lille (Lille 1);72.58;26;20.03;http://ideas.repec.org/top/top.france.html;
44;[46];École Supérieure de Commerce de MontpellierMontpellier, France;http://edirc.repec.org/data/escmpfr.html;École Supérieure de Commerce de Montpellier;74.27;7;4.31;http://ideas.repec.org/top/top.france.html;
45;[45];Faculté de Droit d'Économie et de Gestion, Université de Pau et des Pays de l'AdourPau, France;http://edirc.repec.org/data/fdpaufr.html;Faculté de Droit d'Économie et de Gestion, Université de Pau et des Pays de l'Adour;74.38;22;17.39;http://ideas.repec.org/top/top.france.html;
---;[---];Centre D'Analyse Théorique et de Traitement des données économiques (CATT), Faculté de Droit d'Économie et de Gestion, Université de Pau et des Pays de l'AdourPau, France;http://edirc.repec.org/data/capaufr.html;Centre D'Analyse Théorique et de Traitement des données économiques (CATT), Faculté de Droit d'Économie et de Gestion, Université de Pau et des Pays de l'Adour;75.03;21;17.29;http://ideas.repec.org/top/top.france.html;
46;[44];TEPP Fédération de Recherche Travail Emploi et Politiques PubliquesNoisy le Grand, France;http://edirc.repec.org/data/teppnfr.html;TEPP Fédération de Recherche Travail Emploi et Politiques Publiques;75.32;43;12.82;http://ideas.repec.org/top/top.france.html;
47;[48];Faculté de Droit et des Sciences Économiques, Université de LimogesLimoges, France;http://edirc.repec.org/data/fdlimfr.html;Faculté de Droit et des Sciences Économiques, Université de Limoges;76.06;11;11;http://ideas.repec.org/top/top.france.html;
---;[---];Laboratoire d'Analyse et de Prospective Économique (LAPE), Faculté de Droit et des Sciences Économiques, Université de LimogesLimoges, France;http://edirc.repec.org/data/lalimfr.html;Laboratoire d'Analyse et de Prospective Économique (LAPE), Faculté de Droit et des Sciences Économiques, Université de Limoges;76.06;11;11;http://ideas.repec.org/top/top.france.html;
48;[47];Réseaux Innovation Territoires Mondialisation (RITM), Université Paris-Sud (Paris XI)Sceaux, France;http://edirc.repec.org/data/adpsufr.html;Réseaux Innovation Territoires Mondialisation (RITM), Université Paris-Sud (Paris XI);76.2;19;14.65;http://ideas.repec.org/top/top.france.html;
49;[49];Département d'Économie et de Gestion, École Normale Supérieure (ENS Cachan)Cachan, France;http://edirc.repec.org/data/egencfr.html;Département d'Économie et de Gestion, École Normale Supérieure (ENS Cachan);76.25;5;2.2;http://ideas.repec.org/top/top.france.html;
---;[---];Centre Lillois d'Études et de Recherches Économiques et Sociologiques (CLERSE), Faculty of Economics and Social Sciences, Université des Sciences et Technologie de Lille (Lille 1)Villeneuve d'Ascq, France;http://edirc.repec.org/data/cllilfr.html;Centre Lillois d'Études et de Recherches Économiques et Sociologiques (CLERSE), Faculty of Economics and Social Sciences, Université des Sciences et Technologie de Lille (Lille 1);77.57;18;15.46;http://ideas.repec.org/top/top.france.html;
50;[50];Laboratoire d'Économie de Dijon (LEDI), Université de BourgogneDijon, France;http://edirc.repec.org/data/latecfr.html;Laboratoire d'Économie de Dijon (LEDI), Université de Bourgogne;77.98;26;24.14;http://ideas.repec.org/top/top.france.html;
51;[51];UFR des Sciences Juridiques, Économiques, Politiques et de Gestion, Université de Franche-ComtéBesançon, France;http://edirc.repec.org/data/usufcfr.html;UFR des Sciences Juridiques, Économiques, Politiques et de Gestion, Université de Franche-Comté;80.31;16;14.2;http://ideas.repec.org/top/top.france.html;
---;[---];Environment Directorate, Organisation de Coopération et de Développement Économiques (OCDE)Paris, France;http://edirc.repec.org/data/enoecfr.html;Environment Directorate, Organisation de Coopération et de Développement Économiques (OCDE);80.47;7;6.11;http://ideas.repec.org/top/top.france.html;
---;[---];Laboratoire d'Économie Appliquée de Grenoble, Département Sciences Sociales, Agriculture et Alimentation, Espace et Environnement (SAE2), Institut National de la Recherche Agronomique (INRA)Grenoble, France;http://edirc.repec.org/data/inragfr.html;Laboratoire d'Économie Appliquée de Grenoble, Département Sciences Sociales, Agriculture et Alimentation, Espace et Environnement (SAE2), Institut National de la Recherche Agronomique (INRA);80.86;18;14.58;http://ideas.repec.org/top/top.france.html;
---;[---];Centre de Recherche sur les Stratégies Économiques (CRESE), UFR des Sciences Juridiques, Économiques, Politiques et de Gestion, Université de Franche-ComtéBesançon, France;http://edirc.repec.org/data/crufcfr.html;Centre de Recherche sur les Stratégies Économiques (CRESE), UFR des Sciences Juridiques, Économiques, Politiques et de Gestion, Université de Franche-Comté;81.62;14;12.7;http://ideas.repec.org/top/top.france.html;
52;[52];Groupe ESC ToulouseToulouse, France;http://edirc.repec.org/data/esctofr.html;Groupe ESC Toulouse;81.86;14;12.9;http://ideas.repec.org/top/top.france.html;
---;[---];Public Governance and Territorial Development Directorate, Organisation de Coopération et de Développement Économiques (OCDE)Paris, France;http://edirc.repec.org/data/teoecfr.html;Public Governance and Territorial Development Directorate, Organisation de Coopération et de Développement Économiques (OCDE);82.01;13;12.69;http://ideas.repec.org/top/top.france.html;
53;[53];Centre pour la Recherche Économique et ses Applications (CEPREMAP)Paris, France;http://edirc.repec.org/data/ceprefr.html;Centre pour la Recherche Économique et ses Applications (CEPREMAP);83.36;10;5.09;http://ideas.repec.org/top/top.france.html;
54;[55];Centre de Recherche en Gestion des Organisations (CREGO), Université de BourgogneDijon, France;http://edirc.repec.org/data/crebofr.html;Centre de Recherche en Gestion des Organisations (CREGO), Université de Bourgogne;85.83;14;11.89;http://ideas.repec.org/top/top.france.html;
55;[54];Centre d'Économie Industrielle (CERNA), MINES ParisTechParis, France;http://edirc.repec.org/data/cernafr.html;Centre d'Économie Industrielle (CERNA), MINES ParisTech;86.14;11;10;http://ideas.repec.org/top/top.france.html;
---;[---];Laboratoire d'Économie et de Gestion des Organisations de la Santé (LÉGOS), Laboratoire d'Économie de Dauphine (LEDa), Université Paris-Dauphine (Paris IX)Paris, France;http://edirc.repec.org/data/legp9fr.html;Laboratoire d'Économie et de Gestion des Organisations de la Santé (LÉGOS), Laboratoire d'Économie de Dauphine (LEDa), Université Paris-Dauphine (Paris IX);86.81;4;3.09;http://ideas.repec.org/top/top.france.html;
56;[57];Grenoble École de ManagementGrenoble, France;http://edirc.repec.org/data/gemanfr.html;Grenoble École de Management;88.53;14;11.86;http://ideas.repec.org/top/top.france.html;
57;[56];Kedge Business SchoolMarseille / Bordeaux, France;http://edirc.repec.org/data/euromfr.html;Kedge Business School;89.4;17;13.22;http://ideas.repec.org/top/top.france.html;
58;[58];Institut National d'Études Démographiques (INED)Paris, France;http://edirc.repec.org/data/ineddfr.html;Institut National d'Études Démographiques (INED);89.48;22;17.09;http://ideas.repec.org/top/top.france.html;
---;[---];Centre d'Économie et Sociologie appliquées à l'Agriculture et aux Espaces Ruraux (CESAER), Département Sciences Sociales, Agriculture et Alimentation, Espace et Environnement (SAE2), Institut National de la Recherche Agronomique (INRA)Dijon, France;http://edirc.repec.org/data/ceinrfr.html;Centre d'Économie et Sociologie appliquées à l'Agriculture et aux Espaces Ruraux (CESAER), Département Sciences Sociales, Agriculture et Alimentation, Espace et Environnement (SAE2), Institut National de la Recherche Agronomique (INRA);91.75;11;11;http://ideas.repec.org/top/top.france.html;
---;[---];Centre de Recherches sur la Gestion (CEREG), Dauphine Recherches en Management (DRM), Université Paris-Dauphine (Paris IX)Paris, France;http://edirc.repec.org/data/crgp9fr.html;Centre de Recherches sur la Gestion (CEREG), Dauphine Recherches en Management (DRM), Université Paris-Dauphine (Paris IX);94.09;13;12.4;http://ideas.repec.org/top/top.france.html;
---;[---];Laboratoire d'Économie Mathématique et Microéconomique Appliquée (LEMMA), Département de Sciences Économiques et de Gestion, Université Panthéon-Assas (Paris II)Paris, France;http://edirc.repec.org/data/lemp2fr.html;Laboratoire d'Économie Mathématique et Microéconomique Appliquée (LEMMA), Département de Sciences Économiques et de Gestion, Université Panthéon-Assas (Paris II);94.72;16;15.25;http://ideas.repec.org/top/top.france.html;
59;[60];Institut Louis BachelierParis, France;http://edirc.repec.org/data/ilbacfr.html;Institut Louis Bachelier;94.96;3;1.25;http://ideas.repec.org/top/top.france.html;
60;[59];Maison des Sciences Économiques, Université Paris 1 (Panthéon-Sorbonne)Paris, France;http://edirc.repec.org/data/msep1fr.html;Maison des Sciences Économiques, Université Paris 1 (Panthéon-Sorbonne);96.17;20;12.09;http://ideas.repec.org/top/top.france.html;
---;[---];Département d'Économie, ESSEC Business SchoolCergy-Pontoise, France;http://edirc.repec.org/data/dessefr.html;Département d'Économie, ESSEC Business School;96.59;8;5.48;http://ideas.repec.org/top/top.france.html;
61;[61];Centre d'Études des Politiques Économiques (EPEE), Université d'Évry Val d'EssonneÉvry, France;http://edirc.repec.org/data/epevrfr.html;Centre d'Études des Politiques Économiques (EPEE), Université d'Évry Val d'Essonne;98.41;11;7.06;http://ideas.repec.org/top/top.france.html;
62;[62];Laboratoire d'Économie ForestièreNancy, France;http://edirc.repec.org/data/lefinfr.html;Laboratoire d'Économie Forestière;104.01;21;18.72;http://ideas.repec.org/top/top.france.html;
63;[63];École Nationale de la Statistique et de l'Admnistration Économique (ENSAE), Groupe des Écoles Nationales d'Économie et Statistique (GENES)Paris, France;http://edirc.repec.org/data/ensaefr.html;École Nationale de la Statistique et de l'Admnistration Économique (ENSAE), Groupe des Écoles Nationales d'Économie et Statistique (GENES);104.12;3;1.32;http://ideas.repec.org/top/top.france.html;
---;[---];Alimentation et Sciences Sociales (ALISS), Département Sciences Sociales, Agriculture et Alimentation, Espace et Environnement (SAE2), Institut National de la Recherche Agronomique (INRA)Ivry, France;http://edirc.repec.org/data/corelfr.html;Alimentation et Sciences Sociales (ALISS), Département Sciences Sociales, Agriculture et Alimentation, Espace et Environnement (SAE2), Institut National de la Recherche Agronomique (INRA);104.19;8;6.67;http://ideas.repec.org/top/top.france.html;
64;[65];Faculté d'économie appliquée, Université d'Aix-Marseille AMUAix-en-Provence, France;http://edirc.repec.org/data/feam3fr.html;Faculté d'économie appliquée, Université d'Aix-Marseille AMU;105.42;5;3.2;http://ideas.repec.org/top/top.france.html;
65;[64];EMLYON Business SchoolLyon, France;http://edirc.repec.org/data/emlyofr.html;EMLYON Business School;107.32;9;7.85;http://ideas.repec.org/top/top.france.html;
---;[---];Stratégie et Dynamiques Financiès (SDFi), Laboratoire d'Économie de Dauphine (LEDa), Université Paris-Dauphine (Paris IX)Paris, France;http://edirc.repec.org/data/crdp9fr.html;Stratégie et Dynamiques Financiès (SDFi), Laboratoire d'Économie de Dauphine (LEDa), Université Paris-Dauphine (Paris IX);109.25;11;8.69;http://ideas.repec.org/top/top.france.html;
66;[70];Département Sciences Économiques et Sociales, École d'Ingénieurs Télécom ParisTechParis, France;http://edirc.repec.org/data/denstfr.html;Département Sciences Économiques et Sociales, École d'Ingénieurs Télécom ParisTech;109.83;5;3.75;http://ideas.repec.org/top/top.france.html;
67;[66];Institut de Recherche et Documentation en Économie de la Santé (IRDES)Paris, France;http://edirc.repec.org/data/credefr.html;Institut de Recherche et Documentation en Économie de la Santé (IRDES);110.6;33;27.46;http://ideas.repec.org/top/top.france.html;
---;[---];Théorie et Applications en Microéconomie et Macroéconomie (TEAM), Centre d'Économie de la Sorbonne, Université Paris 1 (Panthéon-Sorbonne)Paris, France;http://edirc.repec.org/data/teap1fr.html;Théorie et Applications en Microéconomie et Macroéconomie (TEAM), Centre d'Économie de la Sorbonne, Université Paris 1 (Panthéon-Sorbonne);110.73;8;7.5;http://ideas.repec.org/top/top.france.html;
68;[69];Centre Clermontois de Recherche en Gestion et Management (CRCGM)Clermont-Ferrand, France;http://edirc.repec.org/data/crcgmfr.html;Centre Clermontois de Recherche en Gestion et Management (CRCGM);111.32;4;3.94;http://ideas.repec.org/top/top.france.html;
69;[68];UFR Mathématiques Sciences Économiques et Sociales, Université Charles-de-Gaulle (Lille 3)Lille, France;http://edirc.repec.org/data/umli3fr.html;UFR Mathématiques Sciences Économiques et Sociales, Université Charles-de-Gaulle (Lille 3);111.4;10;5.41;http://ideas.repec.org/top/top.france.html;
70;[72];Faculté de Sciences Économiques et de Gestion, Université de Toulon et du VarLa Garde, France;http://edirc.repec.org/data/fstlnfr.html;Faculté de Sciences Économiques et de Gestion, Université de Toulon et du Var;111.65;10;9.5;http://ideas.repec.org/top/top.france.html;
71;[67];Faculté des Sciences Économiques, Université de Rennes 1Rennes, France;http://edirc.repec.org/data/fserefr.html;Faculté des Sciences Économiques, Université de Rennes 1;112.54;19;9.12;http://ideas.repec.org/top/top.france.html;
72;[71];Laboratoire d'Analyse et de Recherche Économiques et Finance Internationales (LAREFI), Université de BordeauxBordeaux, France;http://edirc.repec.org/data/labrdfr.html;Laboratoire d'Analyse et de Recherche Économiques et Finance Internationales (LAREFI), Université de Bordeaux;113.64;17;14.28;http://ideas.repec.org/top/top.france.html;
---;[---];Unité Mixte de Recherche Marchés, Organisations, Institutions et Stratégies d'Acteurs (UMR MOISA), Département Sciences Sociales, Agriculture et Alimentation, Espace et Environnement (SAE2), Institut National de la Recherche Agronomique (INRA)Montpellier, France;http://edirc.repec.org/data/moisafr.html;Unité Mixte de Recherche Marchés, Organisations, Institutions et Stratégies d'Acteurs (UMR MOISA), Département Sciences Sociales, Agriculture et Alimentation, Espace et Environnement (SAE2), Institut National de la Recherche Agronomique (INRA);114.47;20;16.92;http://ideas.repec.org/top/top.france.html;
---;[---];Equipe Universitaire de Recherche en Économie Quantitative (EUREQua), Centre d'Économie de la Sorbonne, Université Paris 1 (Panthéon-Sorbonne)Paris, France;http://edirc.repec.org/data/madp1fr.html;Equipe Universitaire de Recherche en Économie Quantitative (EUREQua), Centre d'Économie de la Sorbonne, Université Paris 1 (Panthéon-Sorbonne);114.66;13;8.98;http://ideas.repec.org/top/top.france.html;
73;[73];Institut d'Études du Développement Économique et Social (IEDES), Université Paris 1 (Panthéon-Sorbonne)Paris, France;http://edirc.repec.org/data/iedesfr.html;Institut d'Études du Développement Économique et Social (IEDES), Université Paris 1 (Panthéon-Sorbonne);115.6;8;5;http://ideas.repec.org/top/top.france.html;
74;[74];Institut d'Administration des Entreprises (IAE), Université d'Aix-Marseille AMUAix-en-Provence, France;http://edirc.repec.org/data/iaeaifr.html;Institut d'Administration des Entreprises (IAE), Université d'Aix-Marseille AMU;116.32;9;6.32;http://ideas.repec.org/top/top.france.html;
---;[---];Laboratoire d'Économie Appliquée au Développement (LEAD), Faculté de Sciences Économiques et de Gestion, Université de Toulon et du VarLa Garde, France;http://edirc.repec.org/data/letlnfr.html;Laboratoire d'Économie Appliquée au Développement (LEAD), Faculté de Sciences Économiques et de Gestion, Université de Toulon et du Var;116.4;8;7.5;http://ideas.repec.org/top/top.france.html;
75;[78];Institut de Science Financière et d'Assurances (École ISFA), Université Claude Bernard (Lyon 1)Lyon, France;http://edirc.repec.org/data/isly1fr.html;Institut de Science Financière et d'Assurances (École ISFA), Université Claude Bernard (Lyon 1);122.35;7;7;http://ideas.repec.org/top/top.france.html;
76;[77];Groupement de Recherches Économiques et Sociales (GRES)Bordeaux/Toulouse, France;http://edirc.repec.org/data/gressfr.html;Groupement de Recherches Économiques et Sociales (GRES);122.57;18;13.53;http://ideas.repec.org/top/top.france.html;
77;[75];Faculté de droit, économie et sciences sociales, Université François RabelaisTours, France;http://edirc.repec.org/data/fetoufr.html;Faculté de droit, économie et sciences sociales, Université François Rabelais;122.65;9;7.6;http://ideas.repec.org/top/top.france.html;
78;[76];Centre d'études de l'emploi (CEE)Noisy le Grand, France;http://edirc.repec.org/data/ceerefr.html;Centre d'études de l'emploi (CEE);122.93;12;4.18;http://ideas.repec.org/top/top.france.html;
1;[1];Università Commerciale Luigi BocconiMilano, Italy;http://edirc.repec.org/data/boccoit.html;Università Commerciale Luigi Bocconi;0.97;167;119.96;http://ideas.repec.org/top/top.italy.html;
2;[2];Banca d'ItaliaRoma, Italy;http://edirc.repec.org/data/bdigvit.html;Banca d'Italia;2.64;185;178.56;http://ideas.repec.org/top/top.italy.html;
---;[---];Innocenzo Gasparini Institute for Economic Research (IGIER), Università Commerciale Luigi BocconiMilano, Italy;http://edirc.repec.org/data/igierit.html;Innocenzo Gasparini Institute for Economic Research (IGIER), Università Commerciale Luigi Bocconi;2.67;48;21.91;http://ideas.repec.org/top/top.italy.html;
3;[3];Dipartimento di Scienze Economiche, Alma Mater Studiorum - Università di BolognaBologna, Italy;http://edirc.repec.org/data/sebolit.html;Dipartimento di Scienze Economiche, Alma Mater Studiorum - Università di Bologna;4.18;105;87.64;http://ideas.repec.org/top/top.italy.html;
4;[4];Istituto Einaudi per l'Economia e la Finanza (EIEF)Roma, Italy;http://edirc.repec.org/data/einauit.html;Istituto Einaudi per l'Economia e la Finanza (EIEF);5.3;23;15.77;http://ideas.repec.org/top/top.italy.html;
5;[6];Centro Studi di Economia e Finanza (CSEF)Napoli, Italy;http://edirc.repec.org/data/cssalit.html;Centro Studi di Economia e Finanza (CSEF);7.23;48;27.81;http://ideas.repec.org/top/top.italy.html;
6;[5];Facoltà di Economia, Università degli Studi di Roma "Tor Vergata"Roma, Italy;http://edirc.repec.org/data/ferotit.html;Facoltà di Economia, Università degli Studi di Roma "Tor Vergata";7.77;101;86.15;http://ideas.repec.org/top/top.italy.html;
7;[7];Dipartimenti e Istituti di Scienze Economiche, Università Cattolica del Sacro CuoreItaly;http://edirc.repec.org/data/dscatit.html;Dipartimenti e Istituti di Scienze Economiche, Università Cattolica del Sacro Cuore;8.15;75;68.74;http://ideas.repec.org/top/top.italy.html;
---;[---];Dipartimento di Economia e Finanza, Facoltà di Economia, Università degli Studi di Roma "Tor Vergata"Roma, Italy;http://edirc.repec.org/data/dsrotit.html;Dipartimento di Economia e Finanza, Facoltà di Economia, Università degli Studi di Roma "Tor Vergata";8.15;63;51.26;http://ideas.repec.org/top/top.italy.html;
8;[8];Department of Economics, European University InstituteFirenze, Italy;http://edirc.repec.org/data/deiueit.html;Department of Economics, European University Institute;9.68;33;21.3;http://ideas.repec.org/top/top.italy.html;
9;[9];Dipartimento di Economia e Statistica "Cognetti de Martiis", Università degli Studi di TorinoTorino, Italy;http://edirc.repec.org/data/detorit.html;Dipartimento di Economia e Statistica "Cognetti de Martiis", Università degli Studi di Torino;10;51;38.42;http://ideas.repec.org/top/top.italy.html;
10;[10];Dipartimento di Economia, Management e Metodi Quantitativi (DEMM), Università degli Studi di MilanoMilano, Italy;http://edirc.repec.org/data/damilit.html;Dipartimento di Economia, Management e Metodi Quantitativi (DEMM), Università degli Studi di Milano;13.44;92;83.57;http://ideas.repec.org/top/top.italy.html;
