rank;rank_w;name1;name2;name3;name4;name5;score;from_url;name6;name7
626;[628];Claudio Detotto Laboratoire Lieux, Identités, eSpaces et Activités (LISA), Universitá di Corsica Pasquale Paoli, Corte;/f/pde476.html;Claudio  Detotto;Laboratoire Lieux, Identités, eSpaces et Activités (LISA), Universitá di Corsica Pasquale Paoli;;597.09;http://ideas.repec.org/top/top.france.html;;;
627;[661];Carmen Camacho Paris School of Economics, Paris;/f/pca467.html;Carmen  Camacho;Paris School of Economics;;597.27;http://ideas.repec.org/top/top.france.html;;;
628;[674];Emmanuel Thibault Toulouse School of Economics (TSE), ToulouseFaculté de Droit et des Sciences Économiques, Université de Perpignan, Perpignan;/e/pth23.html;Emmanuel  Thibault;Toulouse School of Economics (TSE);Faculté de Droit et des Sciences Économiques, Université de Perpignan;598.14;http://ideas.repec.org/top/top.france.html;;;
629;[763];Jérôme Mathis Toulouse School of Economics (TSE), Toulouse;/f/pma575.html;Jérôme  Mathis;Toulouse School of Economics (TSE);;598.67;http://ideas.repec.org/top/top.france.html;;;
630;[684];Olivier Thévenon Institut National d'Études Démographiques (INED), Paris;/e/pth83.html;Olivier  Thévenon;Institut National d'Études Démographiques (INED);;599.31;http://ideas.repec.org/top/top.france.html;;;
631;[627];Eric Langlais EconomiX, Université Paris Ouest-Nanterre la Défense (Paris X), Nanterre;/f/pla256.html;Eric  Langlais;EconomiX, Université Paris Ouest-Nanterre la Défense (Paris X);;602.71;http://ideas.repec.org/top/top.france.html;;;
632;[725];Norbert Jean Marie Ladoux Institut d'Économie Industrielle (IDEI), Toulouse School of Economics (TSE), Toulouse;/f/pla318.html;Norbert Jean Marie Ladoux;Institut d'Économie Industrielle (IDEI), Toulouse School of Economics (TSE);;603.09;http://ideas.repec.org/top/top.france.html;;;
633;[664];Damien Besancenot Laboratoire Interdisciplinaire de Recherche Appliquée en Économie de la Santé (LIRAES), Université Paris-Descartes (Paris 5), Paris;/e/pbe106.html;Damien  Besancenot;Laboratoire Interdisciplinaire de Recherche Appliquée en Économie de la Santé (LIRAES), Université Paris-Descartes (Paris 5);;604.12;http://ideas.repec.org/top/top.france.html;;;
634;[695];Pascale Petit TEPP Fédération de Recherche Travail Emploi et Politiques Publiques, Noisy le GrandÉquipe de Recherche sur l'Utilisation des Données Individuelles en lien avec la Théorie Économique (ERUDITE), Université Paris-Est, Créteil;/f/ppe528.html;Pascale  Petit;TEPP Fédération de Recherche Travail Emploi et Politiques Publiques;Équipe de Recherche sur l'Utilisation des Données Individuelles en lien avec la Théorie Économique (ERUDITE), Université Paris-Est;606.97;http://ideas.repec.org/top/top.france.html;;;
635;[707];Delphine Irac Banque de France, Paris;/e/pir44.html;Delphine  Irac;Banque de France;;608.14;http://ideas.repec.org/top/top.france.html;;;
636;[761];Ai Ting Goh HEC Paris (École des Hautes Études Commerciales), Jouy-en-Josas;/f/pgo763.html;Ai Ting  Goh;HEC Paris (École des Hautes Études Commerciales);;609.25;http://ideas.repec.org/top/top.france.html;;;
637;[575];Patricia Crifo EconomiX, Université Paris Ouest-Nanterre la Défense (Paris X), NanterreCentre de Recherche en Économie et Statistique (CREST), France;/e/pcr44.html;Patricia  Crifo;EconomiX, Université Paris Ouest-Nanterre la Défense (Paris X);Centre de Recherche en Économie et Statistique (CREST);609.32;http://ideas.repec.org/top/top.france.html;;;
638;[724];Andréas Heinen Théorie Économique, Modélisation, Application (THEMA), Université de Cergy-Pontoise, Cergy-Pontoise;/e/phe113.html;Andréas  Heinen;Théorie Économique, Modélisation, Application (THEMA), Université de Cergy-Pontoise;;609.33;http://ideas.repec.org/top/top.france.html;;;
639;[131];Hooi Hooi Lean Institut de Préparation à l'Administration et à la Gestion (IPAG), Paris;/f/ple284.html;Hooi Hooi  Lean;Institut de Préparation à l'Administration et à la Gestion (IPAG);;609.63;http://ideas.repec.org/top/top.france.html;;;
640;[655];Oliver Röhn Economics Department, Organisation de Coopération et de Développement Économiques (OCDE), Paris;/f/pro443.html;Oliver  Röhn;Economics Department, Organisation de Coopération et de Développement Économiques (OCDE);;609.8;http://ideas.repec.org/top/top.france.html;;;
641;[681];Nadine Massard;/f/pma1137.html;Nadine  Massard;;;611.1;http://ideas.repec.org/top/top.france.html;;;
642;[96];Mehmet Balcilar École Supérieure de Commerce de Montpellier, Montpellier;/f/pba722.html;Mehmet  Balcilar;École Supérieure de Commerce de Montpellier;;611.12;http://ideas.repec.org/top/top.france.html;;;
643;[651];Moise Sidiropoulos Bureau d'Économie Théorique et Appliquée (BETA), Strasbourg;/f/psi290.html;Moise  Sidiropoulos;Bureau d'Économie Théorique et Appliquée (BETA);;611.65;http://ideas.repec.org/top/top.france.html;;;
644;[711];Philippe De Vreyer Laboratoire d'Économie de Dauphine (LEDa), Université Paris-Dauphine (Paris IX), ParisDIAL, Paris;/f/pde265.html;Philippe  De Vreyer;Laboratoire d'Économie de Dauphine (LEDa), Université Paris-Dauphine (Paris IX);DIAL;611.66;http://ideas.repec.org/top/top.france.html;;;
645;[767];Matteo Bobba Toulouse School of Economics (TSE), Toulouse;/f/pbo270.html;Matteo  Bobba;Toulouse School of Economics (TSE);;612.23;http://ideas.repec.org/top/top.france.html;;;
646;[652];Matthieu Lemoine Banque de France, Paris;/f/ple678.html;Matthieu  Lemoine;Banque de France;;612.38;http://ideas.repec.org/top/top.france.html;;;
647;[693];Sandrine Mesplé-Somps Laboratoire d'Économie de Dauphine (LEDa), Université Paris-Dauphine (Paris IX), ParisDIAL, Paris;/e/pme171.html;Sandrine  Mesplé-Somps;Laboratoire d'Économie de Dauphine (LEDa), Université Paris-Dauphine (Paris IX);DIAL;612.57;http://ideas.repec.org/top/top.france.html;;;
648;[718];Urszula Szczerbowicz Banque de France, Paris;/e/psz51.html;Urszula  Szczerbowicz;Banque de France;;613.37;http://ideas.repec.org/top/top.france.html;;;
649;[742];Mark Andrew Pearson Directorate for Employment, Labour and Social Affairs (ELS), Organisation de Coopération et de Développement Économiques (OCDE), Paris;/f/ppe387.html;Mark Andrew Pearson;Directorate for Employment, Labour and Social Affairs (ELS), Organisation de Coopération et de Développement Économiques (OCDE);;613.49;http://ideas.repec.org/top/top.france.html;;;
650;[696];Benoît Sévi Laboratoire d'Économie et de Management de Nantes-Atlantique (LEMNA), Institut d'Économie et de Management de Nantes (IAE), Université de Nantes, Nantes;/e/psv31.html;Benoît  Sévi;Laboratoire d'Économie et de Management de Nantes-Atlantique (LEMNA), Institut d'Économie et de Management de Nantes (IAE), Université de Nantes;;613.81;http://ideas.repec.org/top/top.france.html;;;
651;[622];Bertrand Bruno Maillet EMLYON Business School, Lyon;/f/pma1896.html;Bertrand Bruno Maillet;EMLYON Business School;;615.8;http://ideas.repec.org/top/top.france.html;;;
652;[756];Sabrina Teyssier Alimentation et Sciences Sociales (ALISS), Département Sciences Sociales, Agriculture et Alimentation, Espace et Environnement (SAE2), Institut National de la Recherche Agronomique (INRA), IvryDépartement d'Économie, École Polytechnique, Palaiseau;/f/pte241.html;Sabrina  Teyssier;Alimentation et Sciences Sociales (ALISS), Département Sciences Sociales, Agriculture et Alimentation, Espace et Environnement (SAE2), Institut National de la Recherche Agronomique (INRA);Département d'Économie, École Polytechnique;615.82;http://ideas.repec.org/top/top.france.html;;;
653;[704];Agnieszka Rusinowska Centre d'Économie de la Sorbonne, Université Paris 1 (Panthéon-Sorbonne), ParisParis School of Economics, Paris;/f/pru213.html;Agnieszka  Rusinowska;Centre d'Économie de la Sorbonne, Université Paris 1 (Panthéon-Sorbonne);Paris School of Economics;616.46;http://ideas.repec.org/top/top.france.html;;;
654;[739];Vincent Bouvatier EconomiX, Université Paris Ouest-Nanterre la Défense (Paris X), Nanterre;/f/pbo531.html;Vincent  Bouvatier;EconomiX, Université Paris Ouest-Nanterre la Défense (Paris X);;617;http://ideas.repec.org/top/top.france.html;;;
655;[713];Lukasz Grzybowski Département Sciences Économiques et Sociales, École d'Ingénieurs Télécom ParisTech, Paris;/f/pgr230.html;Lukasz  Grzybowski;Département Sciences Économiques et Sociales, École d'Ingénieurs Télécom ParisTech;;617.8;http://ideas.repec.org/top/top.france.html;;;
656;[744];Florence Jusot Laboratoire d'Économie de Dauphine (LEDa), Université Paris-Dauphine (Paris IX), ParisInstitut de Recherche et Documentation en Économie de la Santé (IRDES), ParisInstitut National d'Études Démographiques (INED), Paris;/e/pju75.html;Florence  Jusot;Laboratoire d'Économie de Dauphine (LEDa), Université Paris-Dauphine (Paris IX);Institut de Recherche et Documentation en Économie de la Santé (IRDES);618.05;http://ideas.repec.org/top/top.france.html;Institut National d'Études Démographiques (INED);;
657;[779];Jean-Edouard Colliard Départment de Finance et Économie, HEC Paris (École des Hautes Études Commerciales), Jouy-en-Josas;/f/pco647.html;Jean-Edouard  Colliard;Départment de Finance et Économie, HEC Paris (École des Hautes Études Commerciales);;618.17;http://ideas.repec.org/top/top.france.html;;;
658;[705];Sylvain Béal Centre de Recherches Économiques de l'Université de Saint-ETienne (CREUSET), Université Jean-Monnet, Saint-ÉtienneCentre de Recherche sur les Stratégies Économiques (CRESE), UFR des Sciences Juridiques, Économiques, Politiques et de Gestion, Université de Franche-Comté, Besançon;/f/pba617.html;Sylvain  Béal;Centre de Recherches Économiques de l'Université de Saint-ETienne (CREUSET), Université Jean-Monnet;Centre de Recherche sur les Stratégies Économiques (CRESE), UFR des Sciences Juridiques, Économiques, Politiques et de Gestion, Université de Franche-Comté;619.11;http://ideas.repec.org/top/top.france.html;;;
659;[727];Raphael Soubeyran Département Sciences Sociales, Agriculture et Alimentation, Espace et Environnement (SAE2), Institut National de la Recherche Agronomique (INRA), RennesLAboratoire Montpelliérain d'Économie Théorique et Appliquée (LAMETA), Faculté de sciences économiques, Université de Montpellier I, Montpellier;/e/pso102.html;Raphael  Soubeyran;Département Sciences Sociales, Agriculture et Alimentation, Espace et Environnement (SAE2), Institut National de la Recherche Agronomique (INRA);LAboratoire Montpelliérain d'Économie Théorique et Appliquée (LAMETA), Faculté de sciences économiques, Université de Montpellier I;620.23;http://ideas.repec.org/top/top.france.html;;;
660;[708];Petros G. Sekeris École Supérieure de Commerce de Montpellier, Montpellier;/e/pse152.html;Petros G. Sekeris;École Supérieure de Commerce de Montpellier;;622.59;http://ideas.repec.org/top/top.france.html;;;
661;[719];Abraham Lioui Département Comptabilité, Droit, Finance et Économie, Groupe EDHEC (École de Hautes Études Commerciales du Nord), Lille/Paris;/f/pli509.html;Abraham  Lioui;Département Comptabilité, Droit, Finance et Économie, Groupe EDHEC (École de Hautes Études Commerciales du Nord);;622.99;http://ideas.repec.org/top/top.france.html;;;
662;[647];Pierre-Yves Hénin Equipe Universitaire de Recherche en Économie Quantitative (EUREQua), Centre d'Économie de la Sorbonne, Université Paris 1 (Panthéon-Sorbonne), Paris;/e/phn3.html;Pierre-Yves  Hénin;Equipe Universitaire de Recherche en Économie Quantitative (EUREQua), Centre d'Économie de la Sorbonne, Université Paris 1 (Panthéon-Sorbonne);;624.07;http://ideas.repec.org/top/top.france.html;;;
663;[726];Christophe Bontemps Toulouse School of Economics (TSE), Toulouse;/e/pbo69.html;Christophe  Bontemps;Toulouse School of Economics (TSE);;625;http://ideas.repec.org/top/top.france.html;;;
664;[795];Jeanne Hagenbach Centre de Recherche en Économie et Statistique (CREST), France;/f/pha710.html;Jeanne  Hagenbach;Centre de Recherche en Économie et Statistique (CREST);;625.79;http://ideas.repec.org/top/top.france.html;;;
665;[733];Anne-Sophie Robilliard DIAL, ParisInstitut de Recherche pour le Développement (IRD), Paris;/f/pro298.html;Anne-Sophie  Robilliard;DIAL;Institut de Recherche pour le Développement (IRD);627.23;http://ideas.repec.org/top/top.france.html;;;
666;[749];Ariane Tichit Centre d'Études et de Recherches sur le Développement International (CERDI), École d'Économie, Université d'Auvergne (Clermont-Ferrand 1), Clermont-Ferrand;/e/pti75.html;Ariane  Tichit;Centre d'Études et de Recherches sur le Développement International (CERDI), École d'Économie, Université d'Auvergne (Clermont-Ferrand 1);;627.42;http://ideas.repec.org/top/top.france.html;;;
667;[716];Patrice Laroche Centre Européen de Recherche en Économie Financière et en Gestion des Entreprises (CEREFIGE), Unité de Formation et de Recherche Droit, Sciences Économiques et Gestion, Université de Lorraine, NancyESCP Europe, Paris;/e/pla140.html;Patrice  Laroche;Centre Européen de Recherche en Économie Financière et en Gestion des Entreprises (CEREFIGE), Unité de Formation et de Recherche Droit, Sciences Économiques et Gestion, Université de Lorraine;ESCP Europe;627.53;http://ideas.repec.org/top/top.france.html;;;
668;[731];Martial Dupaigne Toulouse School of Economics (TSE), Toulouse;/e/pdu21.html;Martial  Dupaigne;Toulouse School of Economics (TSE);;627.61;http://ideas.repec.org/top/top.france.html;;;
669;[669];Olivier Damette Bureau d'Économie Théorique et Appliquée (BETA), Strasbourg;/f/pda315.html;Olivier  Damette;Bureau d'Économie Théorique et Appliquée (BETA);;628;http://ideas.repec.org/top/top.france.html;;;
670;[701];Julien Pénin Bureau d'Économie Théorique et Appliquée (BETA), Strasbourg;/e/pju22.html;Julien  Pénin;Bureau d'Économie Théorique et Appliquée (BETA);;628.43;http://ideas.repec.org/top/top.france.html;;;
671;[762];Stephane Lhuillery ICN Business School, Metz/NancyBureau d'Économie Théorique et Appliquée (BETA), Strasbourg;/e/plh7.html;Stephane  Lhuillery;ICN Business School;Bureau d'Économie Théorique et Appliquée (BETA);629.55;http://ideas.repec.org/top/top.france.html;;;
672;[17];Muhammad Shahbaz École Supérieure de Commerce de Montpellier, Montpellier;/f/psh375.html;Muhammad  Shahbaz;École Supérieure de Commerce de Montpellier;;630.04;http://ideas.repec.org/top/top.france.html;;;
673;[722];Federico Bonaglia Centre de développement, Organisation de Coopération et de Développement Économiques (OCDE), Paris;/e/pbo68.html;Federico  Bonaglia;Centre de développement, Organisation de Coopération et de Développement Économiques (OCDE);;630.09;http://ideas.repec.org/top/top.france.html;;;
674;[741];Christine Thomas-Agnan Groupe de Recherche en Économie Mathématique et Quantitative (GREMAQ), Toulouse School of Economics (TSE), Toulouse;/e/pth156.html;Christine  Thomas-Agnan;Groupe de Recherche en Économie Mathématique et Quantitative (GREMAQ), Toulouse School of Economics (TSE);;632.22;http://ideas.repec.org/top/top.france.html;;;
675;[709];Marie-Laure Allain Centre de Recherche en Économie et Statistique (CREST), France;/f/pal246.html;Marie-Laure  Allain;Centre de Recherche en Économie et Statistique (CREST);;632.43;http://ideas.repec.org/top/top.france.html;;;
676;[768];Gabriel Desgranges Théorie Économique, Modélisation, Application (THEMA), Université de Cergy-Pontoise, Cergy-Pontoise;/f/pde286.html;Gabriel  Desgranges;Théorie Économique, Modélisation, Application (THEMA), Université de Cergy-Pontoise;;632.98;http://ideas.repec.org/top/top.france.html;;;
677;[750];Artur Radziwill Economics Department, Organisation de Coopération et de Développement Économiques (OCDE), Paris;/f/pra571.html;Artur  Radziwill;Economics Department, Organisation de Coopération et de Développement Économiques (OCDE);;634;http://ideas.repec.org/top/top.france.html;;;
678;[805];Rania Jammazi Institut de Préparation à l'Administration et à la Gestion (IPAG), Paris;/f/pja272.html;Rania  Jammazi;Institut de Préparation à l'Administration et à la Gestion (IPAG);;635.29;http://ideas.repec.org/top/top.france.html;;;
679;[735];Hélène Erkel-Rousse Institut National de la Statistique et des Études Économiques (INSEE), Government of France, Paris;/e/per84.html;Hélène  Erkel-Rousse;Institut National de la Statistique et des Études Économiques (INSEE), Government of France;;635.83;http://ideas.repec.org/top/top.france.html;;;
680;[752];Olivier Allais Alimentation et Sciences Sociales (ALISS), Département Sciences Sociales, Agriculture et Alimentation, Espace et Environnement (SAE2), Institut National de la Recherche Agronomique (INRA), Ivry;/f/pal285.html;Olivier  Allais;Alimentation et Sciences Sociales (ALISS), Département Sciences Sociales, Agriculture et Alimentation, Espace et Environnement (SAE2), Institut National de la Recherche Agronomique (INRA);;636.41;http://ideas.repec.org/top/top.france.html;;;
681;[738];Julien Pouget Centre de Recherche en Économie et Statistique (CREST), France;/e/pju32.html;Julien  Pouget;Centre de Recherche en Économie et Statistique (CREST);;636.88;http://ideas.repec.org/top/top.france.html;;;
682;[794];Henri F. Pagès Banque de France, Paris;/f/ppa217.html;Henri F. Pagès;Banque de France;;638.78;http://ideas.repec.org/top/top.france.html;;;
683;[734];Margit Molnar Economics Department, Organisation de Coopération et de Développement Économiques (OCDE), Paris;/f/pmo281.html;Margit  Molnar;Economics Department, Organisation de Coopération et de Développement Économiques (OCDE);;641.46;http://ideas.repec.org/top/top.france.html;;;
684;[786];Eckhard Georg Wurzel Economics Department, Organisation de Coopération et de Développement Économiques (OCDE), Paris;/e/pwu6.html;Eckhard Georg Wurzel;Economics Department, Organisation de Coopération et de Développement Économiques (OCDE);;645.59;http://ideas.repec.org/top/top.france.html;;;
685;[803];Benjamin Stuart Warr Institut Européen d'Administration (INSEAD), Fontainebleau;/f/pwa269.html;Benjamin Stuart Warr;Institut Européen d'Administration (INSEAD);;645.95;http://ideas.repec.org/top/top.france.html;;;
686;[798];Giulia Sestieri Banque de France, Paris;/f/pse336.html;Giulia  Sestieri;Banque de France;;646.73;http://ideas.repec.org/top/top.france.html;;;
687;[776];Clément Carbonnier Théorie Économique, Modélisation, Application (THEMA), Université de Cergy-Pontoise, Cergy-Pontoise;/f/pca470.html;Clément  Carbonnier;Théorie Économique, Modélisation, Application (THEMA), Université de Cergy-Pontoise;;646.76;http://ideas.repec.org/top/top.france.html;;;
688;[461];Stéphane Mussard Département de Droit, Économie et Gestion, Université de Nîmes, NîmesLAboratoire Montpelliérain d'Économie Théorique et Appliquée (LAMETA), Faculté de sciences économiques, Université de Montpellier I, Montpellier;/e/pmu61.html;Stéphane  Mussard;Département de Droit, Économie et Gestion, Université de Nîmes;LAboratoire Montpelliérain d'Économie Théorique et Appliquée (LAMETA), Faculté de sciences économiques, Université de Montpellier I;646.78;http://ideas.repec.org/top/top.france.html;;;
689;[692];Christophe Deissenberg Groupement de Recherche en Économie Quantitative d'Aix-Marseille (GREQAM), Aix-Marseille School of Economics (AMSE), MarseilleFaculté des sciences économiques, Université d'Aix-Marseille AMU, Aix-en-Provence;/f/pde232.html;Christophe  Deissenberg;Groupement de Recherche en Économie Quantitative d'Aix-Marseille (GREQAM), Aix-Marseille School of Economics (AMSE);Faculté des sciences économiques, Université d'Aix-Marseille AMU;647.45;http://ideas.repec.org/top/top.france.html;;;
690;[759];Luc Doyen conomie et Management (LEM)Groupe de Recherche en Économie Théorique et Appliquée (GREThA), Université de Bordeaux, BordeauxLille É;/f/pdo330.html;Luc  Doyen;Groupe de Recherche en Économie Théorique et Appliquée (GREThA), Université de Bordeaux;;648.39;http://ideas.repec.org/top/top.france.html;;;
691;[781];Brian Hill HEC Paris (École des Hautes Études Commerciales), Jouy-en-Josas;/e/phi78.html;Brian  Hill;HEC Paris (École des Hautes Études Commerciales);;648.44;http://ideas.repec.org/top/top.france.html;;;
692;[788];Pierre-Alain Jayet Économie Publique, Département Sciences Sociales, Agriculture et Alimentation, Espace et Environnement (SAE2), Institut National de la Recherche Agronomique (INRA), Paris-Grignon;/f/pja505.html;Pierre-Alain  Jayet;Économie Publique, Département Sciences Sociales, Agriculture et Alimentation, Espace et Environnement (SAE2), Institut National de la Recherche Agronomique (INRA);;649.42;http://ideas.repec.org/top/top.france.html;;;
693;[832];Mathieu Gex Banque de France, Paris;/e/pge197.html;Mathieu  Gex;Banque de France;;649.6;http://ideas.repec.org/top/top.france.html;;;
694;[792];Frédéric Karamé Groupe d'Analyse des Itinéraires et Niveaux Salariaux (GAINS), Faculté des Sciences Économiques et du Droit, Université du Maine, Le MansTEPP Fédération de Recherche Travail Emploi et Politiques Publiques, Noisy le GrandCentre pour la Recherche Économique et ses Applications (CEPREMAP), Paris;/f/pka752.html;Frédéric  Karamé;Groupe d'Analyse des Itinéraires et Niveaux Salariaux (GAINS), Faculté des Sciences Économiques et du Droit, Université du Maine;TEPP Fédération de Recherche Travail Emploi et Politiques Publiques;650.56;http://ideas.repec.org/top/top.france.html;Centre pour la Recherche Économique et ses Applications (CEPREMAP);;
695;[867];Deborah Roseveare Economics Department, Organisation de Coopération et de Développement Économiques (OCDE), Paris;/e/pro105.html;Deborah  Roseveare;Economics Department, Organisation de Coopération et de Développement Économiques (OCDE);;651.45;http://ideas.repec.org/top/top.france.html;;;
696;[819];Guido Friebel Institut d'Économie Industrielle (IDEI), Toulouse School of Economics (TSE), Toulouse;/e/pfr44.html;Guido  Friebel;Institut d'Économie Industrielle (IDEI), Toulouse School of Economics (TSE);;651.5;http://ideas.repec.org/top/top.france.html;;;
697;[829];Jean-Baptiste Michau Centre de Recherche en Économie et Statistique (CREST), France;/f/pmi565.html;Jean-Baptiste  Michau;Centre de Recherche en Économie et Statistique (CREST);;651.99;http://ideas.repec.org/top/top.france.html;;;
698;[808];Izabela Jelovac Groupe d'Analyse et de Théorie Économique Lyon St-Étienne (GATE Lyon St-Étienne), Faculté de Sciences Économiques et de Gestion, Université Lumière (Lyon 2), Lyon;/e/pje19.html;Izabela  Jelovac;Groupe d'Analyse et de Théorie Économique Lyon St-Étienne (GATE Lyon St-Étienne), Faculté de Sciences Économiques et de Gestion, Université Lumière (Lyon 2);;652.22;http://ideas.repec.org/top/top.france.html;;;
699;[256];Ishac Diwan Paris-Jourdan Sciences Économiques (PSE), Paris School of Economics, Paris;/f/pdi496.html;Ishac  Diwan;Paris-Jourdan Sciences Économiques (PSE), Paris School of Economics;;652.8;http://ideas.repec.org/top/top.france.html;;;
700;[760];Nicolas Debarsy Lille Économie et Management (LEM), France;/f/pde438.html;Nicolas  Debarsy;Lille Économie et Management (LEM);;653.55;http://ideas.repec.org/top/top.france.html;;;
701;[791];Karine Lamiraud ESSEC Business School, Cergy-Pontoise;/f/pla259.html;Karine  Lamiraud;ESSEC Business School;;653.8;http://ideas.repec.org/top/top.france.html;;;
702;[818];Anne Vanhems Groupe ESC Toulouse, ToulouseToulouse School of Economics (TSE), Toulouse;/f/pva772.html;Anne  Vanhems;Groupe ESC Toulouse;Toulouse School of Economics (TSE);655.22;http://ideas.repec.org/top/top.france.html;;;
703;[885];Isabelle Kabla Institut National de la Statistique et des Études Économiques (INSEE), Government of France, Paris;/f/pka703.html;Isabelle  Kabla;Institut National de la Statistique et des Études Économiques (INSEE), Government of France;;655.37;http://ideas.repec.org/top/top.france.html;;;
704;[851];Luc Rouge Groupe ESC Toulouse, Toulouse;/f/pro563.html;Luc  Rouge;Groupe ESC Toulouse;;657.64;http://ideas.repec.org/top/top.france.html;;;
705;[800];Alain Ayong Le Kama EconomiX, Université Paris Ouest-Nanterre la Défense (Paris X), Nanterre;/e/pal163.html;Alain  Ayong Le Kama;EconomiX, Université Paris Ouest-Nanterre la Défense (Paris X);;658.77;http://ideas.repec.org/top/top.france.html;;;
706;[748];Eva Moreno Galbis Groupement de Recherche en Économie Quantitative d'Aix-Marseille (GREQAM), Aix-Marseille School of Economics (AMSE), Marseille;/f/pmo393.html;Eva  Moreno Galbis;Groupement de Recherche en Économie Quantitative d'Aix-Marseille (GREQAM), Aix-Marseille School of Economics (AMSE);;658.91;http://ideas.repec.org/top/top.france.html;;;
707;[778];Frédéric Gavrel Centre de Recherche en Économie et Management (CREM), Rennes/CaenTEPP Fédération de Recherche Travail Emploi et Politiques Publiques, Noisy le Grand;/f/pga522.html;Frédéric  Gavrel;Centre de Recherche en Économie et Management (CREM);TEPP Fédération de Recherche Travail Emploi et Politiques Publiques;659.64;http://ideas.repec.org/top/top.france.html;;;
708;[783];Vanessa Oltra Groupe de Recherche en Économie Théorique et Appliquée (GREThA), Université de Bordeaux, Bordeaux;/e/pol66.html;Vanessa  Oltra;Groupe de Recherche en Économie Théorique et Appliquée (GREThA), Université de Bordeaux;;661.03;http://ideas.repec.org/top/top.france.html;;;
709;[481];Peter W Richardson Economics Department, Organisation de Coopération et de Développement Économiques (OCDE), Paris;/e/pri11.html;Peter W Richardson;Economics Department, Organisation de Coopération et de Développement Économiques (OCDE);;662.41;http://ideas.repec.org/top/top.france.html;;;
710;[753];Céline Guivarch Centre International de Recherche sur l'Environnement et le Développement (CIRED), Paris;/e/pgu160.html;Céline  Guivarch;Centre International de Recherche sur l'Environnement et le Développement (CIRED);;663.75;http://ideas.repec.org/top/top.france.html;;;
711;[816];Thomas-Olivier Léautier Toulouse School of Economics (TSE), Toulouse;/f/pla629.html;Thomas-Olivier  Léautier;Toulouse School of Economics (TSE);;664.43;http://ideas.repec.org/top/top.france.html;;;
712;[854];Thomas Liebig Organisation de Coopération et de Développement Économiques (OCDE), Paris;/f/pli316.html;Thomas  Liebig;Organisation de Coopération et de Développement Économiques (OCDE);;664.98;http://ideas.repec.org/top/top.france.html;;;
713;[766];Antoine Goujard Economics Department, Organisation de Coopération et de Développement Économiques (OCDE), Paris;/f/pgo475.html;Antoine  Goujard;Economics Department, Organisation de Coopération et de Développement Économiques (OCDE);;665.7;http://ideas.repec.org/top/top.france.html;;;
714;[785];Patrick Aubert Direction de la recherche, des études, de l'évaluation et des statistiques (DREES), Ministère du Travail, des Relations Sociales, de la Famille et de la Solidarité, Government of France, Paris;/e/pau19.html;Patrick  Aubert;Direction de la recherche, des études, de l'évaluation et des statistiques (DREES), Ministère du Travail, des Relations Sociales, de la Famille et de la Solidarité, Government of France;;666;http://ideas.repec.org/top/top.france.html;;;
715;[757];Lionel Ragot Centre d'études prospectives et d'informations internationales (CEPII), ParisEconomiX, Université Paris Ouest-Nanterre la Défense (Paris X), Nanterre;/f/pra726.html;Lionel  Ragot;Centre d'études prospectives et d'informations internationales (CEPII);EconomiX, Université Paris Ouest-Nanterre la Défense (Paris X);666.63;http://ideas.repec.org/top/top.france.html;;;
716;[839];Johann Daniel Harnoss Centre d'Économie de la Sorbonne, Université Paris 1 (Panthéon-Sorbonne), Paris;/f/pha885.html;Johann Daniel Harnoss;Centre d'Économie de la Sorbonne, Université Paris 1 (Panthéon-Sorbonne);;668.93;http://ideas.repec.org/top/top.france.html;;;
717;[801];Julien Idier Banque de France, Paris;/e/pid4.html;Julien  Idier;Banque de France;;669.41;http://ideas.repec.org/top/top.france.html;;;
718;[773];Marc Baudry EconomiX, Université Paris Ouest-Nanterre la Défense (Paris X), Nanterre;/f/pba827.html;Marc  Baudry;EconomiX, Université Paris Ouest-Nanterre la Défense (Paris X);;669.45;http://ideas.repec.org/top/top.france.html;;;
719;[686];Yuri Biondi Laboratoire d'Excellence Régulation Financière (Réfi), Franceconomie et Management (LEM)Lille É;/f/pbi260.html;Yuri  Biondi;Laboratoire d'Excellence Régulation Financière (Réfi);;669.83;http://ideas.repec.org/top/top.france.html;;;
720;[797];Mariagrazia Squicciarini Directorate for Science, Technology and Industry (DSTI), Organisation de Coopération et de Développement Économiques (OCDE), Paris;/e/psq2.html;Mariagrazia  Squicciarini;Directorate for Science, Technology and Industry (DSTI), Organisation de Coopération et de Développement Économiques (OCDE);;671.48;http://ideas.repec.org/top/top.france.html;;;
721;[771];Fabien Labondance Centre de recherche en Économie (OFCE), Sciences économiques, Sciences Po, ParisCentre de Recherche sur les Stratégies Économiques (CRESE), UFR des Sciences Juridiques, Économiques, Politiques et de Gestion, Université de Franche-Comté, Besançon;/f/pla652.html;Fabien  Labondance;Centre de recherche en Économie (OFCE), Sciences économiques, Sciences Po;Centre de Recherche sur les Stratégies Économiques (CRESE), UFR des Sciences Juridiques, Économiques, Politiques et de Gestion, Université de Franche-Comté;671.6;http://ideas.repec.org/top/top.france.html;;;
